"filename", "language", "Dart", "YAML", "Markdown", "Swift", "JSON", "C++", "HTML", "XML", "Properties", "comment", "blank", "total"
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\checkisNum.dart", "Dart", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\emptyListNull.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\modifyDate.dart", "Dart", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\pointsClassification.dart", "Dart", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\strCheckLen.dart", "Dart", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\svg.dart", "Dart", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 21
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\test.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\tierIdentifier.dart", "Dart", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\davidp\Documents\GitHub\KZStats\lib\utils\timeConversion.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7, 45
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\future\kzstatsApiPlayerNation.dart", "Dart", 24, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 27
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\getRequest.dart", "Dart", 46, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 54
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json.dart", "Dart", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\kzstatsApiPlayer_json.dart", "Dart", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 70
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\mapinfo_json.dart", "Dart", 40, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 50
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\record_json.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 75
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\steamplayer_json.dart", "Dart", 81, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 92
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\json\wr_json.dart", "Dart", 101, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 111
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\steamLogin.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 1, 28
"c:\Users\davidp\Documents\GitHub\KZStats\lib\web\urls.dart", "Dart", 71, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 86
"c:\Users\davidp\Documents\GitHub\KZStats\pubspec.yaml", "YAML", 0, 49, 0, 0, 0, 0, 0, 0, 0, 34, 12, 95
"c:\Users\davidp\Documents\GitHub\KZStats\test\widget_test.dart", "Dart", 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\davidp\Documents\GitHub\KZStats\web\index.html", "HTML", 0, 0, 0, 0, 0, 0, 26, 0, 0, 15, 5, 46
"c:\Users\davidp\Documents\GitHub\KZStats\web\manifest.json", "JSON", 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 3091, 49, 5, 12, 168, 1, 26, 265, 3, 195, 343, 4158
